logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:39,653Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "version[7.8.0], pid[7], build[default/docker/757314695644ea9a1dc2fecd26d1a43856725e65/2020-06-14T19:35:50.234439Z], OS[Linux/5.15.49-linuxkit-pr/amd64], JVM[AdoptOpenJDK/OpenJDK 64-Bit Server VM/14.0.1/14.0.1+7]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:39,677Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "JVM home [/usr/share/elasticsearch/jdk]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:39,681Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "JVM arguments [-Xshare:auto, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -XX:+ShowCodeDetailsInExceptionMessages, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Djava.locale.providers=SPI,COMPAT, -Xms1g, -Xmx1g, -XX:+UseG1GC, -XX:G1ReservePercent=25, -XX:InitiatingHeapOccupancyPercent=30, -Djava.io.tmpdir=/tmp/elasticsearch-8428596432612665823, -XX:+HeapDumpOnOutOfMemoryError, -XX:HeapDumpPath=data, -XX:ErrorFile=logs/hs_err_pid%p.log, -Xlog:gc*,gc+age=trace,safepoint:file=logs/gc.log:utctime,pid,tags:filecount=32,filesize=64m, -Des.cgroups.hierarchy.override=/, -Xms512m, -Xmx512m, -XX:MaxDirectMemorySize=268435456, -Des.path.home=/usr/share/elasticsearch, -Des.path.conf=/usr/share/elasticsearch/config, -Des.distribution.flavor=default, -Des.distribution.type=docker, -Des.bundled_jdk=true]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,507Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [aggs-matrix-stats]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,517Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [analysis-common]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,521Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [constant-keyword]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,525Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [flattened]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,533Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [frozen-indices]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,538Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [ingest-common]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,542Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [ingest-geoip]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:48:57,548Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "loaded module [ingest-user-agent]" }
